product,positive,negative
Wilton Black Dots Standard Baking Cups,100,0
"42 Dual Drop Leaf Table with 2 Madrid Chairs""",100,0
Craft Punch Giga Scallop Circle 45 24687534 To 334,98,2
Bi-O-kleen Spray & Wipe All Purpose Cleaner,97,3
Blue Anchor Design Throw Pillow (18x18) - Rizzy Home,97,3
La Tortilla Factory Hand Made Style Tortillas Flour,97,3
"Bodycology Nourishing Body Cream, Pretty In Paris",97,3
Pacific Natural Foods Organic Beef Broth,97,3
Cantu Coconut Milk Shine Hold Mist - 8oz,96.25,3.75
King Ralph (dvd),96,4
"Carson-Dellosa Publishing Photographic Learning Cards Boxed Set, Nouns/verbs/adjectives, Grades K-12",96,4
Noosa Honey Yogurt,96,4
"Newman's Own Organics Licorice Twist, Black 5oz",95,5
Progresso Traditional Chicken Rice With Vegetables Soup,95,5
"Iman Luxury Moisturizing Lipstick, Black Brandy 006",95,5
Citrus Magic Instant Spot & Stain Remover,95,5
Starbucks Iced Expresso Classics Vanilla Latte Coffee Beverage - 40oz,94.5,5.5
Ceiling Fan With Light White 14.2 X 29.9 X 9.2 - Hunter Fan,94.5,5.5
Tramontina Ceramica 10 Piece Cookware Set - Red,94,6
Romantic Drama: Greatest Classic Films Collection 2 Discs,94,6
Meguiars Interior Detailer Wipes 25ct,93.62,6.38
Lundberg Organic Cinnamon Toast Rice Cakes,93.5,6.5
Sea Gull Lighting Ceiling Fan - White,93,7
"Cetaphil Gentle Skin Cleanser, 2oz",92.29,7.71
"The Seaweed Bath Co. Argan Conditioner, Smoothing Citrus",92,8
Pink Friday: Roman Reloaded Re-Up (w/dvd),92,8
Black Sister's Revenge (dvd),92,8
Mill Creek Aloe Vera & Paba Lotion,92,8
Elvis Presley - Girl Happy (cd),92,8
L'or233al Paris Elvive Extraordinary Clay Rebalancing Conditioner - 12.6 Fl Oz,91.92,8.08
Solo Foods Almond Paste,91.8,8.2
"Ogx Conditioner, Hydrating Teatree Mint",91.57,8.43
Pleasant Hearth Diamond Fireplace Screen - Espresso,90.97,9.03
My Big Fat Greek Wedding 2 (blu-Ray + Dvd + Digital),90.97,9.03
Herr's Baked Cheese Curls,90,10
Reebok Classic Leather Running Shoes - White (Men),89.8,10.2
Lynk Professional174 Pull Out Cutting Board Bakeware Sliding Cabinet Organizer,89.67,10.33
"Candy Pink Plastic Cups, 20 pk",89,11
Maybelline Clean Express! Makeup Removing Lotion,89,11
Stargate (ws) (ultimate Edition) (director's Cut) (dvdvideo),88.91,11.09
Sopranos:Season 6 Part 1 (blu-Ray),88.57,11.43
"Jergens Extra Moisturizing Liquid Hand Wash, 7.5oz",88.56,11.44
Mia Shower Curtain Green/brown - Lush Decor174,88.36,11.64
Red (special Edition) (dvdvideo),88.22,11.78
